"","dayindex","dayofyear","day","year","mo","temp","dewp","NUM_COLLISIONS"
"3715",3715,63,6,2023,3,39.8,35.6,0.360215053763441
"3716",3716,64,7,2023,3,37.7,31,0.333333333333333
"3717",3717,65,1,2023,3,42,27,0.295698924731183
"3718",3718,66,2,2023,3,38.1,18.4,0.381720430107527
"3719",3719,67,3,2023,3,36.6,28.4,0.182795698924731
"3720",3720,68,4,2023,3,40.9,32.1,0.505376344086022
"3721",3721,69,5,2023,3,38.7,31.5,0.483870967741935
"3722",3722,70,6,2023,3,37.5,32.9,0.231182795698925
"3723",3723,71,7,2023,3,39.6,30.9,0.0591397849462366
"3724",3724,72,1,2023,3,40,34.3,0.618279569892473
"3725",3725,73,2,2023,3,42.1,38.6,0.354838709677419
"3726",3726,74,3,2023,3,38.2,29.7,0.43010752688172
"3727",3727,75,4,2023,3,40.7,25.4,0.258064516129032
"3728",3728,76,5,2023,3,42.7,36.2,0.43010752688172
"3729",3729,77,6,2023,3,45.3,41.5,0.166666666666667
"3730",3730,78,7,2023,3,38,23.3,0.247311827956989
"3731",3731,79,1,2023,3,36.5,19.4,0.456989247311828
"3732",3732,80,2,2023,3,42.1,34,0.241935483870968
"3733",3733,81,3,2023,3,42.8,37.1,0.102150537634409
"3734",3734,82,4,2023,3,45.9,43.4,0.317204301075269
"3735",3735,83,5,2023,3,46.3,38.8,0.236559139784946
"3736",3736,84,6,2023,3,38.3,32.9,0.129032258064516
"3737",3737,85,7,2023,3,46.5,42.5,0.440860215053763
"3738",3738,86,1,2023,3,43.7,35.3,0.333333333333333
"3739",3739,87,2,2023,3,42.1,36.4,0.236559139784946
"3740",3740,88,3,2023,3,39.8,30.4,0.387096774193548
"3741",3741,89,4,2023,3,39.4,22.2,0.489247311827957
"3742",3742,90,5,2023,3,38.9,19.5,0.290322580645161
"3743",3743,91,6,2023,4,48.8,47.7,0.408602150537634
"3744",3744,92,7,2023,4,47,36.5,0.236559139784946
"3745",3745,93,1,2023,4,40.3,24.5,0.311827956989247
"3746",3746,94,2,2023,4,49.7,44.6,0.537634408602151
"3747",3747,95,3,2023,4,47.5,44.9,0.397849462365591
"3748",3748,96,4,2023,4,50.8,49.5,0.129032258064516
"3749",3749,97,5,2023,4,50,39.7,0.043010752688172
"3750",3750,98,6,2023,4,41.8,21.5,0.112903225806452
"3751",3751,99,7,2023,4,40.9,22.6,0.043010752688172
"3752",3752,100,1,2023,4,43.3,32.6,0.0860215053763441
"3753",3753,101,2,2023,4,47.9,41.2,0.0376344086021505
"3754",3754,102,3,2023,4,56.7,40.9,0.172043010752688
"3755",3755,103,4,2023,4,53.4,44,0.188172043010753
"3756",3756,104,5,2023,4,58.6,46.9,0.456989247311828
"3757",3757,105,6,2023,4,53.3,50.8,0.21505376344086
"3758",3758,106,7,2023,4,56.1,53.8,0.10752688172043
"3759",3759,107,1,2023,4,51.1,50.2,0.28494623655914
"3760",3760,108,2,2023,4,51.7,44.7,0.188172043010753
"3761",3761,109,3,2023,4,48.2,35.8,0.381720430107527
"3762",3762,110,4,2023,4,47.3,32.9,0.456989247311828
"3763",3763,111,5,2023,4,47.8,39,0.591397849462366
"3764",3764,112,6,2023,4,48.5,42.3,0.301075268817204
"3765",3765,113,7,2023,4,49.6,45.5,0.360215053763441
"3766",3766,114,1,2023,4,50.1,47.2,0.537634408602151
"3767",3767,115,2,2023,4,48.9,44.6,0.295698924731183
"3768",3768,116,3,2023,4,46.9,40.9,0.446236559139785
"3769",3769,117,4,2023,4,44.1,38.1,0.188172043010753
"3770",3770,118,5,2023,4,46.1,41.6,0.553763440860215
"3771",3771,119,6,2023,4,48.5,42.4,0.672043010752688
"3772",3772,120,7,2023,4,51.9,50.1,0.440860215053763
